2018-05-06 10:51:30 INFO  IBMProject:55 - Succesfully loaded
2018-05-06 10:51:34 INFO  IBMProject:78 - Message: entered URl
2018-05-06 10:51:34 INFO  IBMProject:78 - Message: Username entered
2018-05-06 10:51:34 INFO  IBMProject:78 - Message: Password entered
2018-05-06 10:51:35 INFO  IBMProject:78 - Message: Clicked on submit Button
2018-05-06 10:51:43 INFO  IBMProject:78 - Message: clicked on Admin Button
2018-05-06 10:51:48 INFO  IBMProject:78 - Message: Clicked on Add Button
2018-05-06 10:51:49 INFO  IBMProject:78 - Message: Entered Username
2018-05-06 10:51:50 INFO  IBMProject:78 - Message: Username entered
2018-05-06 10:51:50 INFO  IBMProject:78 - Message: Password entered
2018-05-06 10:51:51 INFO  IBMProject:78 - Message: confirmed pass entered
2018-05-06 10:51:51 INFO  IBMProject:78 - Message: Clicked on save button
2018-05-06 10:51:54 INFO  IBMProject:78 - Message: clicked on Admin Button
2018-05-06 10:51:59 INFO  IBMProject:78 - Message: Clicked on Add Button
2018-05-06 10:51:59 INFO  IBMProject:78 - Message: Entered Username
2018-05-06 10:52:00 INFO  IBMProject:78 - Message: Username entered
2018-05-06 10:52:00 INFO  IBMProject:78 - Message: Password entered
2018-05-06 10:52:00 INFO  IBMProject:78 - Message: confirmed pass entered
2018-05-06 10:52:00 INFO  IBMProject:78 - Message: Clicked on save button
2018-05-06 10:52:04 INFO  IBMProject:78 - Message: clicked on Admin Button
2018-05-06 10:52:08 INFO  IBMProject:78 - Message: Clicked on Add Button
2018-05-06 10:52:09 INFO  IBMProject:78 - Message: Entered Username
2018-05-06 10:52:09 INFO  IBMProject:78 - Message: Username entered
2018-05-06 10:52:09 INFO  IBMProject:78 - Message: Password entered
2018-05-06 10:52:09 INFO  IBMProject:78 - Message: confirmed pass entered
2018-05-06 10:52:10 INFO  IBMProject:78 - Message: Clicked on save button
2018-05-06 10:52:13 INFO  IBMProject:78 - Message: clicked on Admin Button
2018-05-06 10:52:18 INFO  IBMProject:78 - Message: Clicked on Add Button
2018-05-06 10:52:18 INFO  IBMProject:78 - Message: Entered Username
2018-05-06 10:52:18 INFO  IBMProject:78 - Message: Username entered
2018-05-06 10:52:19 INFO  IBMProject:78 - Message: Password entered
2018-05-06 10:52:19 INFO  IBMProject:78 - Message: confirmed pass entered
2018-05-06 10:52:19 INFO  IBMProject:78 - Message: Clicked on save button
2018-05-06 10:52:22 INFO  IBMProject:78 - Message: clicked on Admin Button
2018-05-06 10:52:28 INFO  IBMProject:78 - Message: Clicked on Add Button
2018-05-06 10:52:29 INFO  IBMProject:78 - Message: Entered Username
2018-05-06 10:52:29 INFO  IBMProject:78 - Message: Username entered
2018-05-06 10:52:29 INFO  IBMProject:78 - Message: Password entered
2018-05-06 10:52:30 INFO  IBMProject:78 - Message: confirmed pass entered
2018-05-06 10:52:30 INFO  IBMProject:78 - Message: Clicked on save button
2018-05-06 10:52:33 INFO  IBMProject:78 - Message: clicked on Admin Button
2018-05-06 10:52:41 INFO  IBMProject:78 - Message: Clicked on Add Button
2018-05-06 10:52:42 INFO  IBMProject:78 - Message: Entered Username
2018-05-06 10:52:42 INFO  IBMProject:78 - Message: Username entered
2018-05-06 10:52:43 INFO  IBMProject:78 - Message: Password entered
2018-05-06 10:52:43 INFO  IBMProject:78 - Message: confirmed pass entered
2018-05-06 10:52:43 INFO  IBMProject:78 - Message: Clicked on save button
2018-05-06 10:52:46 INFO  IBMProject:78 - Message: clicked on Admin Button
2018-05-06 10:52:51 INFO  IBMProject:78 - Message: Clicked on Add Button
2018-05-06 10:52:52 INFO  IBMProject:78 - Message: Entered Username
2018-05-06 10:52:52 INFO  IBMProject:78 - Message: Username entered
2018-05-06 10:52:52 INFO  IBMProject:78 - Message: Password entered
2018-05-06 10:52:52 INFO  IBMProject:78 - Message: confirmed pass entered
2018-05-06 10:52:52 INFO  IBMProject:78 - Message: Clicked on save button
2018-05-06 10:52:56 INFO  IBMProject:78 - Message: clicked on Admin Button
2018-05-06 10:53:00 INFO  IBMProject:78 - Message: Clicked on Add Button
2018-05-06 10:53:02 INFO  IBMProject:78 - Message: Entered Username
2018-05-06 10:53:02 INFO  IBMProject:78 - Message: Username entered
2018-05-06 10:53:02 INFO  IBMProject:78 - Message: Password entered
2018-05-06 10:53:02 INFO  IBMProject:78 - Message: confirmed pass entered
2018-05-06 10:53:03 INFO  IBMProject:78 - Message: Clicked on save button
2018-05-06 10:53:21 INFO  IBMProject:66 - succesfully took the screen shot
2018-05-06 10:53:24 INFO  IBMProject:72 - closing browser
